epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,10151.4,1.2836,2.11051,1.29276,1.13077,0,0.67962,0.27627,0.2807,0.16996,0.55691,0.22711,0.20632,0.08589,1.33026,2.10427,1.36448,1.19903,0,0.00105084,0.00035028,0.00105084,0.00035028,0.00105084,0.00035028,0.00105084,0.00035028
57,10322.9,1.27435,2.08824,1.29487,1.12934,0,0.69732,0.27204,0.28043,0.16885,0.54714,0.22496,0.20518,0.08752,1.33554,2.10602,1.37144,1.19889,0,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666
58,10494.4,1.255,2.06312,1.27747,1.11647,0,0.66713,0.28437,0.28138,0.16893,0.55087,0.23543,0.20843,0.08881,1.33576,2.11483,1.36713,1.19953,0,0.00100516,0.000335053,0.00100516,0.000335053,0.00100516,0.000335053,0.00100516,0.000335053
59,10666.4,1.26577,2.06725,1.26369,1.11981,0,0.66643,0.28495,0.28235,0.17196,0.54599,0.23372,0.20774,0.08954,1.33854,2.09359,1.36154,1.20458,0,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744
60,10839.2,1.28247,2.08637,1.27493,1.12353,0,0.67131,0.28507,0.28275,0.17187,0.55309,0.23592,0.20786,0.08843,1.33044,2.10549,1.36114,1.1974,0,0.000959481,0.000319827,0.000959481,0.000319827,0.000959481,0.000319827,0.000959481,0.000319827
61,11011.5,1.27249,2.07527,1.27185,1.11692,0,0.68319,0.27784,0.2813,0.17075,0.54614,0.22681,0.2035,0.0866,1.34143,2.11102,1.36848,1.20408,0,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214
62,11184.4,1.27375,2.08077,1.27635,1.12098,0,0.70705,0.27821,0.2847,0.17239,0.69219,0.20256,0.209,0.08852,1.33298,2.11065,1.35892,1.2026,0,0.000913803,0.000304601,0.000913803,0.000304601,0.000913803,0.000304601,0.000913803,0.000304601
63,11358.6,1.27148,2.07046,1.25609,1.11302,0,0.69967,0.27792,0.28251,0.17151,0.55237,0.22705,0.20686,0.08666,1.33265,2.10518,1.36316,1.20036,0,0.000890963,0.000296988,0.000890963,0.000296988,0.000890963,0.000296988,0.000890963,0.000296988
64,11531.9,1.2649,2.07469,1.26378,1.10955,0,0.68014,0.27707,0.28002,0.16837,0.55562,0.22225,0.20316,0.08549,1.35649,2.11773,1.37761,1.21436,0,0.000868124,0.000289375,0.000868124,0.000289375,0.000868124,0.000289375,0.000868124,0.000289375
65,11706.2,1.26535,2.07167,1.25293,1.11295,0,0.68858,0.28349,0.28183,0.17195,0.54267,0.23039,0.20743,0.08682,1.33632,2.10709,1.35866,1.20069,0,0.000845285,0.000281762,0.000845285,0.000281762,0.000845285,0.000281762,0.000845285,0.000281762
66,11879.6,1.26571,2.061,1.2592,1.11241,0,0.68036,0.27914,0.28414,0.17328,0.54616,0.22405,0.20791,0.08861,1.32872,2.0997,1.35068,1.20081,0,0.000822445,0.000274148,0.000822445,0.000274148,0.000822445,0.000274148,0.000822445,0.000274148
67,12052.2,1.27685,2.06884,1.25028,1.11198,0,0.68723,0.27222,0.28428,0.17316,0.54931,0.22298,0.2103,0.08686,1.33999,2.10284,1.3542,1.20484,0,0.000799606,0.000266535,0.000799606,0.000266535,0.000799606,0.000266535,0.000799606,0.000266535
68,12226,1.28371,2.07419,1.26681,1.11632,0,0.7112,0.25929,0.28088,0.16886,0.59129,0.21026,0.20878,0.08989,1.33784,2.1097,1.37818,1.20598,0,0.000776767,0.000258922,0.000776767,0.000258922,0.000776767,0.000258922,0.000776767,0.000258922
69,12398.9,1.25837,2.04787,1.25278,1.11539,0,0.69571,0.27126,0.28327,0.17108,0.55939,0.21454,0.20891,0.08926,1.32612,2.09504,1.36426,1.20154,0,0.000753928,0.000251309,0.000753928,0.000251309,0.000753928,0.000251309,0.000753928,0.000251309
70,12571.4,1.25,2.04541,1.2308,1.11591,0,0.68393,0.27322,0.28518,0.17294,0.54846,0.21991,0.20592,0.08754,1.3271,2.10538,1.35973,1.20122,0,0.000731088,0.000243696,0.000731088,0.000243696,0.000731088,0.000243696,0.000731088,0.000243696
71,12743.6,1.24234,2.0372,1.22352,1.10251,0,0.70076,0.27371,0.28301,0.17144,0.55782,0.22219,0.2081,0.08629,1.33864,2.11051,1.35835,1.20117,0,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083
72,12915.2,1.2568,2.04377,1.22959,1.10389,0,0.69094,0.27618,0.2854,0.17442,0.55233,0.22332,0.20923,0.08592,1.32696,2.09074,1.34672,1.1947,0,0.00068541,0.00022847,0.00068541,0.00022847,0.00068541,0.00022847,0.00068541,0.00022847
73,13087.2,1.2394,2.05166,1.23279,1.10656,0,0.65232,0.29002,0.28289,0.17334,0.56328,0.21676,0.20777,0.08659,1.32869,2.10878,1.35658,1.19572,0,0.00066257,0.000220857,0.00066257,0.000220857,0.00066257,0.000220857,0.00066257,0.000220857
74,13259.9,1.24199,2.03923,1.24082,1.10301,0,0.7058,0.26655,0.28427,0.17185,0.56173,0.21481,0.2062,0.08367,1.33115,2.10642,1.35458,1.19546,0,0.000639731,0.000213244,0.000639731,0.000213244,0.000639731,0.000213244,0.000639731,0.000213244
75,13433.5,1.25495,2.05186,1.24035,1.1063,0,0.71084,0.26526,0.2838,0.17236,0.57328,0.22078,0.2109,0.09021,1.33673,2.1057,1.35233,1.20227,0,0.000616892,0.000205631,0.000616892,0.000205631,0.000616892,0.000205631,0.000616892,0.000205631
76,13610,1.2609,2.06134,1.24313,1.10887,0,0.69902,0.26804,0.28647,0.17541,0.58864,0.22133,0.21585,0.09137,1.33082,2.09615,1.34861,1.19811,0,0.000594053,0.000198018,0.000594053,0.000198018,0.000594053,0.000198018,0.000594053,0.000198018
77,13781.2,1.22308,2.01923,1.22093,1.09693,0,0.69734,0.27122,0.28422,0.17299,0.56496,0.22542,0.21095,0.0861,1.33275,2.0996,1.36083,1.19943,0,0.000571213,0.000190404,0.000571213,0.000190404,0.000571213,0.000190404,0.000571213,0.000190404
78,13951.1,1.2377,2.02869,1.23634,1.10651,0,0.70186,0.26901,0.28457,0.1748,0.56093,0.21847,0.21209,0.08748,1.32691,2.1026,1.34777,1.19812,0,0.000548374,0.000182791,0.000548374,0.000182791,0.000548374,0.000182791,0.000548374,0.000182791
79,14124.3,1.24149,2.02963,1.22016,1.10355,0,0.67922,0.28491,0.28705,0.17639,0.55459,0.22281,0.2113,0.08816,1.32943,2.10201,1.34089,1.20267,0,0.000525535,0.000175178,0.000525535,0.000175178,0.000525535,0.000175178,0.000525535,0.000175178
80,14295.2,1.24215,2.03718,1.21615,1.10186,0,0.68372,0.28031,0.28577,0.17489,0.56232,0.23038,0.21096,0.08722,1.3308,2.09843,1.35132,1.19847,0,0.000502695,0.000167565,0.000502695,0.000167565,0.000502695,0.000167565,0.000502695,0.000167565
81,14466.8,1.25282,2.06038,1.22922,1.11311,0,0.70941,0.27105,0.28652,0.17438,0.56788,0.2268,0.2093,0.08655,1.32899,2.093,1.34547,1.19625,0,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952
82,14640.1,1.24317,2.03972,1.21099,1.09676,0,0.70119,0.26725,0.28588,0.17413,0.55655,0.21811,0.207,0.08614,1.34127,2.11049,1.35328,1.20221,0,0.000457017,0.000152339,0.000457017,0.000152339,0.000457017,0.000152339,0.000457017,0.000152339
83,14811.7,1.24702,2.03658,1.22342,1.104,0,0.6785,0.28086,0.28752,0.1766,0.55529,0.23047,0.21232,0.0894,1.33195,2.10549,1.33772,1.20141,0,0.000434177,0.000144726,0.000434177,0.000144726,0.000434177,0.000144726,0.000434177,0.000144726
84,14981.8,1.2268,2.03064,1.20027,1.09463,0,0.66505,0.28287,0.28587,0.17474,0.55689,0.21934,0.21125,0.08875,1.33262,2.10066,1.34182,1.20016,0,0.000411338,0.000137113,0.000411338,0.000137113,0.000411338,0.000137113,0.000411338,0.000137113
85,15157,1.25835,2.05265,1.22129,1.10415,0,0.65775,0.28756,0.28775,0.17571,0.569,0.21103,0.21304,0.08737,1.33655,2.10601,1.34284,1.20307,0,0.000388499,0.0001295,0.000388499,0.0001295,0.000388499,0.0001295,0.000388499,0.0001295
86,15328.7,1.23478,2.04108,1.21365,1.1034,0,0.72532,0.26204,0.28919,0.17819,0.58553,0.21623,0.2162,0.09152,1.33068,2.09828,1.33708,1.202,0,0.00036566,0.000121887,0.00036566,0.000121887,0.00036566,0.000121887,0.00036566,0.000121887
87,15503.5,1.24324,2.02496,1.20833,1.10375,0,0.67113,0.28428,0.28755,0.17573,0.5724,0.21847,0.21487,0.0868,1.33505,2.10038,1.33751,1.20304,0,0.00034282,0.000114273,0.00034282,0.000114273,0.00034282,0.000114273,0.00034282,0.000114273
88,15676.7,1.24091,2.03796,1.21057,1.09794,0,0.66343,0.28927,0.28731,0.17493,0.55758,0.23217,0.21229,0.08723,1.34014,2.11149,1.34462,1.20506,0,0.000319981,0.00010666,0.000319981,0.00010666,0.000319981,0.00010666,0.000319981,0.00010666
89,15847.8,1.2141,2.00036,1.20235,1.08827,0,0.66446,0.28762,0.28796,0.17609,0.58178,0.21792,0.21395,0.08896,1.3315,2.10376,1.34182,1.20194,0,0.000297142,9.90472e-05,0.000297142,9.90472e-05,0.000297142,9.90472e-05,0.000297142,9.90472e-05
90,16020.1,1.23597,2.03882,1.19934,1.09771,0,0.65844,0.29292,0.28799,0.17569,0.57465,0.21205,0.21216,0.08688,1.3272,2.10057,1.34004,1.19752,0,0.000274302,9.14341e-05,0.000274302,9.14341e-05,0.000274302,9.14341e-05,0.000274302,9.14341e-05
91,16173.9,1.23164,1.98578,1.30584,1.13399,0,0.68686,0.26615,0.27344,0.16514,0.55598,0.2106,0.19719,0.08341,1.32673,2.12415,1.40791,1.19937,0,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05
92,16326.7,1.20894,1.95417,1.25979,1.12356,0,0.6589,0.27646,0.2696,0.16271,0.53621,0.22303,0.19697,0.08107,1.3277,2.1187,1.40498,1.20169,0,0.000228624,7.62079e-05,0.000228624,7.62079e-05,0.000228624,7.62079e-05,0.000228624,7.62079e-05
